"Event_ID","Participant_ID","Exchange_Count","Turn_Count","Text_Prep","Text_Clean","emo_valence_b24","lex_freqlg10","sem_diversity","id","file","context","participants","laughter","short_pauses","medium_pauses","long_pauses","elongating","start_time","end_time","turn"
"Cuz","ALIN",5,10,"a",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"cocaine","cocaine",2.09,2.6253,1.073505,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"addict","addict",1.98,2.4378,1.200493471,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"so","so",5,5.3354,2.281892,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"he",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"is",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"talking","talk",5.03,4.6395,1.848581,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"about","about",5,5.2677,2.266162867,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"he",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"you",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"know","know",5.11,5.4651,1.98089,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"he",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"is",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"yeah","yes",6.97,5.0079,1.592797,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"man","man",5,4.9737,1.979867,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"he",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"is",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"going","go",5.03,5.2866,2.069098,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"to",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"show","show",5.55,4.3963,2.211488,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"us",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
"Cuz","ALIN",5,10,"you",NA,NA,NA,NA,15,"SBC006","A very lively interaction between two female cousins in their mid-thirties, recorded in Los Angeles, California. ","Participants: LENO LENORE Speaker, ALIN ALINA Speaker, ALL ALL Speaker, ENV ENV Environment",0,3,1,0,0,"21310","28200",1
