x,y,gesture
6.8374724,8.589381,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_3_Gesture_12.47_15.93
7.8168206,1.7969669,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_4_Gesture_16.63_18.40
5.287563,8.305087,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_5_Gesture_1.47_2.07
8.079631,9.332231,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_6_Gesture_3.67_4.70
8.384595,8.807238,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_7_Gesture_5.43_13.17
8.074859,9.5534725,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_8_Gesture_14.80_15.07
6.1505566,3.8481362,103_203_29_1_20250113_153255_cherry_ground_clueGiver_cam02.mp4_segment_9_Gesture_15.77_18.57
2.0972755,2.5394084,103_203_29_1_20250113_153255_cherry_ground_guesser_cam02.mp4_segment_1_Gesture_2.13_4.20
2.3365767,2.3161614,103_203_29_1_20250113_153255_cherry_ground_guesser_cam02.mp4_segment_2_Gesture_2.13_3.63
1.4613914,7.0404,103_203_29_1_20250113_153255_cherry_ground_guesser_cam02.mp4_segment_3_Gesture_6.63_6.87
6.104627,4.030079,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_1_Gesture_9.20_10.40
8.170458,1.4939091,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_2_Gesture_1.50_1.73
8.243468,1.4121637,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_3_Gesture_3.63_4.73
8.192652,1.4586029,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_4_Gesture_6.77_7.07
7.9955688,7.378494,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_5_Gesture_8.43_10.07
7.800284,2.4981468,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4_segment_6_Gesture_13.07_13.33
0.08521085,7.303116,103_203_30_1_20250113_153310_exam_ground_guesser_cam02.mp4_segment_1_Move_0.80_1.03
0.053971153,7.3237762,103_203_30_1_20250113_153310_exam_ground_guesser_cam02.mp4_segment_2_Move_1.80_9.37
9.150405,6.209681,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_1_Gesture_4.67_11.60
7.104264,8.710328,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_2_Gesture_12.33_13.23
8.255608,8.51925,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_3_Gesture_17.93_21.70
8.004819,9.160243,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_4_Gesture_4.33_5.00
9.248829,5.933713,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_5_Gesture_5.67_9.57
7.3843784,8.511241,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_6_Gesture_10.30_14.27
8.054177,9.078963,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_7_Gesture_15.70_18.23
8.435441,9.503793,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_8_Gesture_19.00_19.67
6.112689,3.939621,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4_segment_9_Gesture_20.23_21.87
4.223383,7.9441915,103_203_32_1_20250113_153341_coffee_ground_clueGiver_cam02.mp4_segment_1_Gesture_5.60_6.63
4.6255827,7.506459,103_203_32_1_20250113_153341_coffee_ground_clueGiver_cam02.mp4_segment_2_Gesture_5.27_6.07
-0.04747525,7.36378,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4_segment_1_Move_1.23_1.57
-0.018772826,7.372869,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4_segment_2_Move_3.17_4.57
-0.083600745,7.321687,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4_segment_3_Move_5.53_6.73
6.567532,3.2045348,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_1_Gesture_0.90_1.87
6.9372783,8.700252,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_2_Gesture_7.00_8.57
6.814986,9.0545225,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_3_Gesture_9.50_11.00
6.7476788,9.075518,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_4_Gesture_11.90_13.10
5.904888,9.250168,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_5_Gesture_15.33_16.70
6.737208,8.844894,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_6_Gesture_19.80_21.30
6.6307096,3.20594,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_7_Gesture_0.80_1.27
7.201471,8.355948,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_8_Gesture_6.80_12.67
6.49118,8.986763,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4_segment_9_Gesture_13.33_21.30
6.2393203,3.7289033,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_10_Gesture_13.33_15.10
6.625955,3.1849482,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_1_Gesture_0.80_1.87
1.2244424,6.0855994,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_2_Gesture_2.87_3.70
6.6576967,9.67646,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_3_Gesture_5.13_9.97
6.974213,10.284524,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_4_Gesture_11.67_12.50
6.3659353,3.6084535,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_5_Gesture_13.70_15.10
6.537893,3.0157113,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_6_Gesture_0.97_1.30
1.241096,6.056403,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_7_Gesture_2.90_3.30
6.6881323,9.5394125,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_8_Gesture_5.37_9.80
7.2134204,10.071983,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_9_Gesture_10.47_12.00
1.5110161,6.8593707,103_203_35_1_20250113_153443_yellow_ground_guesser_cam02.mp4_segment_1_Gesture_2.40_3.10
3.1680431,2.2697003,103_203_35_1_20250113_153443_yellow_ground_guesser_cam02.mp4_segment_2_Gesture_2.27_2.43
6.8000355,3.3817427,103_203_36_1_20250113_153454_flannel_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.27_9.50
7.9115973,7.343406,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_10_Gesture_17.13_22.03
7.314696,4.600794,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_1_Gesture_0.80_8.00
9.018387,4.320798,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_2_Gesture_8.70_9.30
7.9656415,7.6234627,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_3_Gesture_9.93_22.20
7.3637395,7.8555927,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_4_Gesture_6.77_7.53
9.0569105,4.3200307,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_5_Gesture_8.63_9.20
7.866667,4.6492915,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_6_Gesture_9.73_12.17
7.589528,9.873739,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_7_Gesture_12.90_14.10
8.077557,9.59722,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_8_Gesture_15.27_15.40
8.050753,9.575293,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_9_Gesture_16.00_16.40
7.1832304,4.2204604,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.40_6.50
7.558425,7.039227,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4_segment_2_Gesture_9.00_11.13
7.2043557,3.7637763,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4_segment_3_Gesture_1.43_4.63
